land,1950,1960,1970,1980,1990,2000,2010,2020,2023
China,554419000,667070000,818315000,981235000,1143330000,1263980000,1337705000,1411100000,1409670000
India,376325000,450548000,555189000,696783000,873278000,1053898000,1234281000,1380004000,1428628000
Verenigde Staten,158804000,186721000,209513000,227225000,252153000,282339000,309327000,331502000,339996000
Nederland,10200000,11487000,13032000,14150000,14952000,15926000,16575000,17441000,17890000
Japan,83625000,94096000,104665000,116807000,123537000,126843000,128070000,125836000,124352000
